Summary
npu, core_num, cmd_cnt, layer_num
0x320ed9e, 4, 22743, 54
cpu_cycle, dma_cycle, mm, dw, mi, ml
18946816, 7342091, 6377577, 0, 139661, 0,, 6332758, 0, 137763, 0,, 6318202, 0, 133995, 0,, 6244002, 0, 133962, 0,


Layer Group
idx, trap_id, name, cpu, dma, comp, mm, dw, mi, ml
      31,       32,            Conv2d_55,   528913,   281826,   277683,   153026,        0,        0,        0,   153028,        0,        0,        0,   153027,        0,        0,        0,   153025,        0,        0,        0
      32,       33,            Conv2d_56,   103479,    45063,    38185,    15953,        0,        0,        0,    15953,        0,        0,        0,    15953,        0,        0,        0,    15953,        0,        0,        0
      33,       34,            Conv2d_57,   543046,   282084,   257874,   153027,        0,        0,        0,   153028,        0,        0,        0,   153026,        0,        0,        0,   153025,        0,        0,        0
      34,       35,            Conv2d_59,    56241,    15056,    15967,    15967,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
      35,       36,           Upsample_0,    22851,    12468,     2092,        0,        0,      776,        0,        0,        0,      776,        0,        0,        0,      776,        0,        0,        0,      776,        0
      36,       37,            Conv2d_60,   123819,    51732,    30956,    23903,        0,        0,        0,    23903,        0,        0,        0,    23888,        0,        0,        0,    23888,        0,        0,        0
      37,       38,            Conv2d_61,   340817,    95710,   126666,   126596,        0,        0,        0,   126598,        0,        0,        0,   126598,        0,        0,        0,   126596,        0,        0,        0
      38,       39,            Conv2d_62,    83755,    37938,    30789,    15974,        0,        0,        0,    15974,        0,        0,        0,    15960,        0,        0,        0,    15959,        0,        0,        0
      39,       40,            Conv2d_63,   315692,    96160,   151757,   126596,        0,        0,        0,   126596,        0,        0,        0,   126596,        0,        0,        0,   126596,        0,        0,        0
      40,       41,            Conv2d_64,    87759,    37952,    30919,    15974,        0,        0,        0,    15974,        0,        0,        0,    15960,        0,        0,        0,    15960,        0,        0,        0
      41,       42,            Conv2d_65,   314999,    95945,   151597,   126596,        0,        0,        0,   126596,        0,        0,        0,   126598,        0,        0,        0,   126597,        0,        0,        0
      42,       43,            Conv2d_67,    54160,    16724,    13266,    13266,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
      43,       44,           Upsample_1,    44081,    24236,     5349,        0,        0,     1528,        0,        0,        0,     1527,        0,        0,        0,     1527,        0,        0,        0,     1527,        0
      44,       45,            Conv2d_68,   148994,    82342,    50073,    20029,        0,        0,        0,    18968,        0,        0,        0,    20029,        0,        0,        0,    18968,        0,        0,        0
      45,       46,            Conv2d_69,   329307,    77099,   137388,   120714,        0,        0,        0,   120666,        0,        0,        0,   120666,        0,        0,        0,   120666,        0,        0,        0
      46,       47,            Conv2d_70,   110018,    60802,    43009,    13266,        0,        0,        0,    13266,        0,        0,        0,    13266,        0,        0,        0,    13266,        0,        0,        0
      47,       48,            Conv2d_71,   329056,    77117,   137297,   120715,        0,        0,        0,   120666,        0,        0,        0,   120666,        0,        0,        0,   120666,        0,        0,        0
      48,       49,            Conv2d_72,   109931,    60748,    42857,    13266,        0,        0,        0,    13266,        0,        0,        0,    13266,        0,        0,        0,    13266,        0,        0,        0
      49,       50,            Conv2d_73,   329388,    77224,   137428,   120715,        0,        0,        0,   120665,        0,        0,        0,   120666,        0,        0,        0,   120665,        0,        0,        0
      50,       51,            Conv2d_74,   121956,    67531,    29796,     9966,        0,        0,        0,     9966,        0,        0,        0,     9966,        0,        0,        0,     9966,        0,        0,        0
      51,       52,            Conv2d_66,    55113,    29541,    20947,     6038,        0,        0,        0,     6038,        0,        0,        0,     6023,        0,        0,        0,     6024,        0,        0,        0
      52,       53,            Conv2d_58,    51261,    16212,    11983,    11983,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
      53,        0,                     ,     2676,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0,        0
