

     Summary: group layer ops

group_layer,group_conv_ops,ic,ih,iw,iact_size,oc,oh,ow,oact_size
Shortcut_9,Conv2d_23.G_swap_1.OC_0,LayerType.Conv2d,174440448,3,3,128,224,1,13,52,r * s * c * (k // g) * h * w
Shortcut_9,PartSlice_G_SQUEZZE_57,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_9,PartSlice_G_EXPAND_58,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_9,Conv2d_22.G_IR_2,LayerType.Conv2d,25559040,1,1,256,128,1,15,52,r * s * c * (k // g) * h * w
Shortcut_9,Conv2d_23.G_swap_2.OC_1,LayerType.Conv2d,24920064,3,3,128,32,1,13,52,r * s * c * (k // g) * h * w
Shortcut_9,Conv2d_23.G_swap_2,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_9,Shortcut_9.G_swap_2,LayerType.Add,0,,,,,,13,52,
Shortcut_9,Conv2d_23.G_swap_2.OC_0,LayerType.Conv2d,174440448,3,3,128,224,1,13,52,r * s * c * (k // g) * h * w
Shortcut_9,PartSlice_G_SQUEZZE_58,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_9,PartSlice_G_EXPAND_59,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_9,Conv2d_22.G_IR_3,LayerType.Conv2d,23855104,1,1,256,128,1,14,52,r * s * c * (k // g) * h * w
Shortcut_9,Conv2d_23.G_swap_3.OC_1,LayerType.Conv2d,24920064,3,3,128,32,1,13,52,r * s * c * (k // g) * h * w
Shortcut_9,Conv2d_23.G_swap_3,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_9,Shortcut_9.G_swap_3,LayerType.Add,0,,,,,,13,52,
Shortcut_9,Conv2d_23.G_swap_3.OC_0,LayerType.Conv2d,174440448,3,3,128,224,1,13,52,r * s * c * (k // g) * h * w
Shortcut_9,PartSlice_G_SQUEZZE_59,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_9,Shortcut_9,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_10,PartSlice_G_EXPAND_60,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_10,Conv2d_24.G_IR_0,LayerType.Conv2d,23855104,1,1,256,128,1,14,52,r * s * c * (k // g) * h * w
Shortcut_10,Conv2d_25.G_swap_0.OC_1,LayerType.Conv2d,24920064,3,3,128,32,1,13,52,r * s * c * (k // g) * h * w
Shortcut_10,Conv2d_25.G_swap_0,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_10,Shortcut_10.G_swap_0,LayerType.Add,0,,,,,,13,52,
Shortcut_10,Conv2d_25.G_swap_0.OC_0,LayerType.Conv2d,174440448,3,3,128,224,1,13,52,r * s * c * (k // g) * h * w
Shortcut_10,PartSlice_G_SQUEZZE_60,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_10,PartSlice_G_EXPAND_61,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_10,Conv2d_24.G_IR_1,LayerType.Conv2d,25559040,1,1,256,128,1,15,52,r * s * c * (k // g) * h * w
Shortcut_10,Conv2d_25.G_swap_1.OC_1,LayerType.Conv2d,24920064,3,3,128,32,1,13,52,r * s * c * (k // g) * h * w
Shortcut_10,Conv2d_25.G_swap_1,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_10,Shortcut_10.G_swap_1,LayerType.Add,0,,,,,,13,52,
Shortcut_10,Conv2d_25.G_swap_1.OC_0,LayerType.Conv2d,174440448,3,3,128,224,1,13,52,r * s * c * (k // g) * h * w
Shortcut_10,PartSlice_G_SQUEZZE_61,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_10,PartSlice_G_EXPAND_62,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_10,Conv2d_24.G_IR_2,LayerType.Conv2d,25559040,1,1,256,128,1,15,52,r * s * c * (k // g) * h * w
Shortcut_10,Conv2d_25.G_swap_2.OC_1,LayerType.Conv2d,24920064,3,3,128,32,1,13,52,r * s * c * (k // g) * h * w
Shortcut_10,Conv2d_25.G_swap_2,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_10,Shortcut_10.G_swap_2,LayerType.Add,0,,,,,,13,52,
Shortcut_10,Conv2d_25.G_swap_2.OC_0,LayerType.Conv2d,174440448,3,3,128,224,1,13,52,r * s * c * (k // g) * h * w
Shortcut_10,PartSlice_G_SQUEZZE_62,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_10,PartSlice_G_EXPAND_63,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_10,Conv2d_24.G_IR_3,LayerType.Conv2d,23855104,1,1,256,128,1,14,52,r * s * c * (k // g) * h * w
Shortcut_10,Conv2d_25.G_swap_3.OC_1,LayerType.Conv2d,24920064,3,3,128,32,1,13,52,r * s * c * (k // g) * h * w
Shortcut_10,Conv2d_25.G_swap_3,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_10,Shortcut_10.G_swap_3,LayerType.Add,0,,,,,,13,52,
Shortcut_10,Conv2d_25.G_swap_3.OC_0,LayerType.Conv2d,174440448,3,3,128,224,1,13,52,r * s * c * (k // g) * h * w
Shortcut_10,PartSlice_G_SQUEZZE_63,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_10,Shortcut_10,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_26,PartSlice_IR_20,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_0.OC_5,LayerType.Conv2d,13418496,3,3,256,32,1,7,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_0,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_0.OC_4,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_0.OC_3,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_0.OC_2,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_0.OC_1,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_0.OC_0,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Conv2d_26,PartSlice_IR_21,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_1.OC_5,LayerType.Conv2d,13418496,3,3,256,32,1,7,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_1,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_1.OC_4,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_1.OC_3,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_1.OC_2,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_1.OC_1,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_1.OC_0,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Conv2d_26,PartSlice_IR_22,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_2.OC_5,LayerType.Conv2d,11501568,3,3,256,32,1,6,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_2,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_2.OC_4,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_2.OC_3,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_2.OC_2,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_2.OC_1,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_2.OC_0,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Conv2d_26,PartSlice_IR_23,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_3.OC_5,LayerType.Conv2d,11501568,3,3,256,32,1,6,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_3,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_3.OC_4,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_3.OC_3,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_3.OC_2,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_3.OC_1,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26.IR_3.OC_0,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Conv2d_26,Conv2d_26,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_11,PartSlice_G_EXPAND_64,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_27.G_IR_0,LayerType.Conv2d,27262976,1,1,512,256,1,8,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_0.OC_5,LayerType.Conv2d,13418496,3,3,256,32,1,7,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_0,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_11,Shortcut_11.G_swap_0,LayerType.Add,0,,,,,,7,26,
Shortcut_11,Conv2d_28.G_swap_0.OC_4,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_0.OC_3,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_0.OC_2,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_0.OC_1,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_0.OC_0,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_11,PartSlice_G_SQUEZZE_64,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_11,PartSlice_G_EXPAND_65,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_27.G_IR_1,LayerType.Conv2d,30670848,1,1,512,256,1,9,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_1.OC_5,LayerType.Conv2d,13418496,3,3,256,32,1,7,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_1,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_11,Shortcut_11.G_swap_1,LayerType.Add,0,,,,,,7,26,
Shortcut_11,Conv2d_28.G_swap_1.OC_4,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_1.OC_3,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_1.OC_2,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_1.OC_1,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_1.OC_0,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_11,PartSlice_G_SQUEZZE_65,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_11,PartSlice_G_EXPAND_66,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_27.G_IR_2,LayerType.Conv2d,27262976,1,1,512,256,1,8,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_2.OC_5,LayerType.Conv2d,11501568,3,3,256,32,1,6,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_2,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_11,Shortcut_11.G_swap_2,LayerType.Add,0,,,,,,6,26,
Shortcut_11,Conv2d_28.G_swap_2.OC_4,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_2.OC_3,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_2.OC_2,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_2.OC_1,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_2.OC_0,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_11,PartSlice_G_SQUEZZE_66,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_11,PartSlice_G_EXPAND_67,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_27.G_IR_3,LayerType.Conv2d,23855104,1,1,512,256,1,7,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_3.OC_5,LayerType.Conv2d,11501568,3,3,256,32,1,6,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_3,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_11,Shortcut_11.G_swap_3,LayerType.Add,0,,,,,,6,26,
Shortcut_11,Conv2d_28.G_swap_3.OC_4,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_3.OC_3,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_3.OC_2,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_3.OC_1,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_11,Conv2d_28.G_swap_3.OC_0,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_11,PartSlice_G_SQUEZZE_67,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_11,Shortcut_11,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_12,PartSlice_G_EXPAND_68,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_29.G_IR_0,LayerType.Conv2d,27262976,1,1,512,256,1,8,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_0.OC_5,LayerType.Conv2d,13418496,3,3,256,32,1,7,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_0,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_12,Shortcut_12.G_swap_0,LayerType.Add,0,,,,,,7,26,
Shortcut_12,Conv2d_30.G_swap_0.OC_4,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_0.OC_3,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_0.OC_2,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_0.OC_1,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_0.OC_0,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_12,PartSlice_G_SQUEZZE_68,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_12,PartSlice_G_EXPAND_69,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_29.G_IR_1,LayerType.Conv2d,30670848,1,1,512,256,1,9,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_1.OC_5,LayerType.Conv2d,13418496,3,3,256,32,1,7,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_1,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_12,Shortcut_12.G_swap_1,LayerType.Add,0,,,,,,7,26,
Shortcut_12,Conv2d_30.G_swap_1.OC_4,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_1.OC_3,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_1.OC_2,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_1.OC_1,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_1.OC_0,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_12,PartSlice_G_SQUEZZE_69,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_12,PartSlice_G_EXPAND_70,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_29.G_IR_2,LayerType.Conv2d,27262976,1,1,512,256,1,8,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_2.OC_5,LayerType.Conv2d,11501568,3,3,256,32,1,6,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_2,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_12,Shortcut_12.G_swap_2,LayerType.Add,0,,,,,,6,26,
Shortcut_12,Conv2d_30.G_swap_2.OC_4,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_2.OC_3,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_2.OC_2,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_2.OC_1,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_2.OC_0,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_12,PartSlice_G_SQUEZZE_70,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_12,PartSlice_G_EXPAND_71,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_29.G_IR_3,LayerType.Conv2d,23855104,1,1,512,256,1,7,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_3.OC_5,LayerType.Conv2d,11501568,3,3,256,32,1,6,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_3,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_12,Shortcut_12.G_swap_3,LayerType.Add,0,,,,,,6,26,
Shortcut_12,Conv2d_30.G_swap_3.OC_4,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_3.OC_3,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_3.OC_2,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_3.OC_1,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_12,Conv2d_30.G_swap_3.OC_0,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_12,PartSlice_G_SQUEZZE_71,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_12,Shortcut_12,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_13,PartSlice_G_EXPAND_72,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_31.G_IR_0,LayerType.Conv2d,27262976,1,1,512,256,1,8,26,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_32.G_swap_0.OC_5,LayerType.Conv2d,13418496,3,3,256,32,1,7,26,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_32.G_swap_0,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_13,Shortcut_13.G_swap_0,LayerType.Add,0,,,,,,7,26,
Shortcut_13,Conv2d_32.G_swap_0.OC_4,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_32.G_swap_0.OC_3,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_32.G_swap_0.OC_2,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_32.G_swap_0.OC_1,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_32.G_swap_0.OC_0,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_13,PartSlice_G_SQUEZZE_72,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_13,PartSlice_G_EXPAND_73,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_31.G_IR_1,LayerType.Conv2d,30670848,1,1,512,256,1,9,26,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_32.G_swap_1.OC_5,LayerType.Conv2d,13418496,3,3,256,32,1,7,26,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_32.G_swap_1,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_13,Shortcut_13.G_swap_1,LayerType.Add,0,,,,,,7,26,
Shortcut_13,Conv2d_32.G_swap_1.OC_4,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_32.G_swap_1.OC_3,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_32.G_swap_1.OC_2,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_32.G_swap_1.OC_1,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_32.G_swap_1.OC_0,LayerType.Conv2d,40255488,3,3,256,96,1,7,26,r * s * c * (k // g) * h * w
Shortcut_13,PartSlice_G_SQUEZZE_73,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_13,PartSlice_G_EXPAND_74,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_31.G_IR_2,LayerType.Conv2d,27262976,1,1,512,256,1,8,26,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_32.G_swap_2.OC_5,LayerType.Conv2d,11501568,3,3,256,32,1,6,26,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_32.G_swap_2,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_13,Shortcut_13.G_swap_2,LayerType.Add,0,,,,,,6,26,
Shortcut_13,Conv2d_32.G_swap_2.OC_4,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_32.G_swap_2.OC_3,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_32.G_swap_2.OC_2,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_32.G_swap_2.OC_1,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_32.G_swap_2.OC_0,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
Shortcut_13,PartSlice_G_SQUEZZE_74,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_13,PartSlice_G_EXPAND_75,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_31.G_IR_3,LayerType.Conv2d,23855104,1,1,512,256,1,7,26,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_32.G_swap_3.OC_5,LayerType.Conv2d,11501568,3,3,256,32,1,6,26,r * s * c * (k // g) * h * w
Shortcut_13,Conv2d_32.G_swap_3,LayerType.Concat,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Shortcut_13,Shortcut_13.G_swap_3,LayerType.Add,0,,,,,,6,26,
Shortcut_13,Conv2d_32.G_swap_3.OC_4,LayerType.Conv2d,34504704,3,3,256,96,1,6,26,r * s * c * (k // g) * h * w
