

     Summary: group layer ops

group_layer,group_conv_ops,ic,ih,iw,iact_size,oc,oh,ow,oact_size
Conv2d_1,Conv2d_1.G_swap_8,LayerType.Conv2d,30670848,3,3,32,64,1,8,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_9,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_9,LayerType.Conv2d,6110208,3,3,3,32,1,17,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_9,LayerType.Conv2d,30670848,3,3,32,64,1,8,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_10,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_10,LayerType.Conv2d,5391360,3,3,3,32,1,15,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_10,LayerType.Conv2d,26836992,3,3,32,64,1,7,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_11,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_11,LayerType.Conv2d,5391360,3,3,3,32,1,15,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_11,LayerType.Conv2d,26836992,3,3,32,64,1,7,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_12,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_12,LayerType.Conv2d,6110208,3,3,3,32,1,17,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_12,LayerType.Conv2d,30670848,3,3,32,64,1,8,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_13,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_13,LayerType.Conv2d,6110208,3,3,3,32,1,17,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_13,LayerType.Conv2d,30670848,3,3,32,64,1,8,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_14,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_14,LayerType.Conv2d,5391360,3,3,3,32,1,15,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_14,LayerType.Conv2d,26836992,3,3,32,64,1,7,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_15,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_15,LayerType.Conv2d,5391360,3,3,3,32,1,15,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_15,LayerType.Conv2d,26836992,3,3,32,64,1,7,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_16,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_16,LayerType.Conv2d,6110208,3,3,3,32,1,17,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_16,LayerType.Conv2d,30670848,3,3,32,64,1,8,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_17,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_17,LayerType.Conv2d,6110208,3,3,3,32,1,17,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_17,LayerType.Conv2d,30670848,3,3,32,64,1,8,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_18,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_18,LayerType.Conv2d,5391360,3,3,3,32,1,15,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_18,LayerType.Conv2d,26836992,3,3,32,64,1,7,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_19,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_19,LayerType.Conv2d,5391360,3,3,3,32,1,15,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_19,LayerType.Conv2d,26836992,3,3,32,64,1,7,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_20,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_20,LayerType.Conv2d,6110208,3,3,3,32,1,17,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_20,LayerType.Conv2d,30670848,3,3,32,64,1,8,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_21,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_21,LayerType.Conv2d,5391360,3,3,3,32,1,15,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_21,LayerType.Conv2d,26836992,3,3,32,64,1,7,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_22,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_22,LayerType.Conv2d,5391360,3,3,3,32,1,15,416,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_1.G_swap_22,LayerType.Conv2d,26836992,3,3,32,64,1,7,208,r * s * c * (k // g) * h * w
Conv2d_1,PartSlice_G_IR_23,LayerType.Slice,0,0,0,0,0,0,0,0,r * s * c * (k // g) * h * w
Conv2d_1,Conv2d_0.G_IR_23,LayerType.Conv2d,5391360,3,3,3,32,1,15,416,r * s * c * (k // g) * h * w
